what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473955119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473955740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473956067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473956274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473956687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473956956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473957225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473957439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473957911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473958212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323473958455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323473971161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323473972960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323473973230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323473975588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323473984949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477321890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477330435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477522667
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1323477525160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477528784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477536429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477536510
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1323477541859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477542804
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1323477542826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477544160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477555264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477565118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477565152
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323477567263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477568903
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1323477568925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477574807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477574842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477579251
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1323477579274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477585680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477599581
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323477602691
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477603880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477604853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323477606118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323477614817
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1323477618754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477638591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477703263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477709680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477781261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477793922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477793977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477798400
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1323477798425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477803318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477807545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477818067
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323477825491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323477830473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323477852011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477887702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323477911642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323477931841
